Address,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,YearBuilt,BuiltCode,YearAlter1,YearAlter2
23 CANAL STREET,4,17,24,90.58,94.5,43.33,52.25,1900,,0,0
555 WEST 184 STREET,6,44,44,90,99.92,94,88,1916,,0,0
159 EAST 82 STREET,3,1,1,19.17,82,19.17,45,1899,E,2006,0
156 EAST 7 STREET,5,32,33,75,90.83,75,53,1915,E,1985,0
1 MINETTA LANE,3,2,2,19.58,43.17,19.58,36,1899,E,0,0
310 WEST 144 STREET,4,0,1,50,99.92,50,89.92,1920,E,0,0
112 EDGECOMBE AVENUE,4,1,1,16.83,85,16.83,50,1899,E,0,0
24 EAST 35 STREET,4,2,3,20.67,98.75,21,60,1925,,0,0
214 1 AVENUE,6,25,28,42,80,42,80,1910,,1984,2010
107 EAST 28 STREET,0,0,0,135,197.5,0,0,0,,0,0
124 2 AVENUE,6,22,24,26.67,125,27,113,1920,E,1978,0
1683 PARK AVENUE,0,0,0,25.17,90,0,0,0,,0,0
216 EAST 31 STREET,4,1,1,20,98.75,20,51,1899,E,0,0
664 9 AVENUE,5,8,10,26.5,66,27,50,1920,E,0,0
333 WEST 76 STREET,5,11,11,20,102.17,20,92,1910,E,0,0
F D R DRIVE,0,0,0,100.92,143,0,0,0,,0,0
345 EAST 78 STREET,5,17,17,25,102.17,25,64,1910,,1987,0
117 EAST 18 STREET,7,4,5,25,92,25,92,1930,,0,0
311 EAST 8 STREET,0,0,0,21.75,69.83,0,0,0,,0,0
132 EAST 62 STREET,5,1,1,20,100.42,20,50,1899,E,2007,0
260 PLEASANT AVENUE,4.5,0,3,463.67,464,403,240,1941,,1989,2005
241 WEST 11 STREET,3,2,2,18.75,100,18.75,44,1899,E,2014,0
231 WEST 142 STREET,1,0,1,25,99.92,25,99,1930,E,1990,0
257 WEST 88 STREET,3,0,1,89.17,100.67,79,89,1917,,0,0
115 MULBERRY STREET,5,18,19,25.08,100.5,25,52,1910,E,1986,0
10 CHRISTOPHER STREET,7,31,32,40.5,88.67,0,0,1940,,0,0
231 WEST 139 STREET,4,1,1,18.17,99.92,18,52,1926,,0,0
35 IRVING PLACE,11,0,1,146,225,146,225,1909,,1967,0
554 WEST 148 STREET,5,22,22,50,99.92,50,83,1920,E,0,0
34 EAST 61 STREET,5,2,3,21,100.42,21,90,1910,E,1988,2012
314 RIVERSIDE DRIVE,19,93,93,86.83,100,86.83,90,1931,,0,0
47 EAST 1 STREET,5,10,10,20.58,72.08,21,52,1900,,1986,2009
317 WEST 75 STREET,4,10,10,22,102.17,22,70,1925,E,0,0
1511 3 AVENUE,4,0,2,76.63,125,77,125,1905,,1982,0
180 BOWERY,3,0,1,50.17,100,50,89,1949,,0,0
528 WEST 159 STREET,5,10,10,25,99.92,25,84,1913,,0,0
146 WEST 111 STREET,5,16,16,33,100.92,33,86,1900,E,0,0
123 EAST 18 STREET,5,8,9,21.75,92,22,58,1960,E,2009,2009
35 CHRISTOPHER STREET,6,22,24,32.08,74.83,32,62,1900,E,2012,0
354 WEST 37 STREET,3,0,1,18,49.42,18,45,1920,E,0,0
337 RIVERSIDE DRIVE,5,2,2,30.92,61,30.92,61,1899,E,0,0
208 WEST 149 STREET,5,42,42,100,99.92,100,85,1940,E,1985,2008
322 EAST 19 STREET,4,5,5,20,92,21,80,1910,,0,0
2236 AMSTERDAM AVENUE,6,33,38,70,100,69,89,1909,E,1988,0
7 CENTRE MARKET PLACE,5,2,4,24.75,47,25,49,1900,E,2003,0
126 WEST 118 STREET,3,3,3,20,100.92,20,55,1901,E,2000,0
112 WEST 86 STREET,4,10,10,20,102.17,20,72,1900,E,0,0
117 EAST 30 STREET,4,0,2,18.67,98.75,18.67,65,1910,E,0,0
297 EAST 3 STREET,2,0,1,26.25,96.17,26,88,1900,E,0,0
14 EAST 55 STREET,5,0,1,23,100.42,23,100,1915,,0,0
3 ST LUKES PLACE,3,3,3,20.5,67,20.5,42,1901,E,2003,0
515 PARK AVENUE,42,57,57,60,100.42,0,0,1998,,0,0
795 COLUMBUS AVENUE,15,132,138,260,135,260,130,2007,,0,0
213 EAST 37 STREET,11,34,34,29,95.67,29,89,1925,,1986,0
1992 3 AVENUE,9,15,16,19.96,95,19.96,73.86,2015,,0,0
224 WEST 71 STREET,3,3,3,18,100.42,18,52,1899,E,0,0
1526 ST NICHOLAS AVENUE,5,18,21,42,100,42,86,1911,,1989,0
149 1 AVENUE,5,24,26,23.08,100,23,47,1900,E,0,0
773 1 AVENUE,5,0,2,75,100,25,100,1966,,2000,0
1528 1 AVENUE,4,12,14,27.17,75,26,73,1910,E,1970,0
58 IRVING PLACE,16,287,290,105,207.25,104,187,1962,,1987,0
264 10 AVENUE,11,240,240,197.5,350,197,139,1940,E,1987,0
169 THOMPSON STREET,6,5,7,32,25,32,25,1900,E,1983,0
385 WEST END AVENUE,3,1,1,20,55.92,20,50.5,1900,E,1986,2014
429 EAST 9 STREET,4,8,8,25,92.25,25,50,1900,E,0,0
138 WEST 13 STREET,3,3,3,23.75,103.25,0,0,1910,,0,0
517 WEST 121 STREET,0,0,0,50,191.83,0,0,0,,0,0
340 EAST 74 STREET,13,119,119,76,100,0,0,1957,,0,0
341 WEST 29 STREET,4,2,2,110,22,0,0,1910,E,0,0
214 WEST 17 STREET,6,13,13,50,92,50,88,1900,,1980,0
410 EAST 65 STREET,6,235,235,300.83,100,60,86,1920,E,0,0
570 WEST 191 STREET,5,20,20,49,101.42,49,88,1914,,0,0
23 RUTGERS STREET,4,4,4,22,61,22,43,1920,E,0,0
173 WEST 81 STREET,5,19,23,38.5,102.17,39,92,1900,E,0,0
329 EAST 88 STREET,5,11,11,25,100.71,25,72,1910,E,1985,0
108 SOUTH STREET,4.5,0,2,16.75,81,17,82,1940,E,0,0
7 WEST 20 STREET,5,8,9,25,92,25,71,1920,,1988,0
1982 2 AVENUE,5,11,12,25.92,100,25,85,2001,,0,0
219 WEST 71 STREET,4,6,6,18,102.17,18,68,1900,E,1988,0
137 SULLIVAN STREET,6,28,30,37,100,37,85,1915,,0,0
12 EAST 18 STREET,5,4,5,24.5,92,25,87,1920,E,2010,0
3 EAST 63 STREET,4,11,11,25,100.42,25,92,1910,E,1988,0
13 SYLVAN TERRACE,2,2,2,20.67,34.5,20.67,25,1899,E,2008,0
16 EAST 94 STREET,5,2,2,17.17,100.67,17.17,55,1920,E,0,0
119 WEST 117 STREET,3,3,3,21,100.92,21,43,1998,,0,0
100 CONVENT AVENUE,5,34,34,72,107.25,69,91,1910,E,1988,0
219 EAST 3 STREET,1,1,1,23.67,96.17,10,20,1920,E,0,0
281 WEST STREET,10,107,107,125.08,206.5,0,0,2013,,0,0
200 BROADWAY,9,0,0,201,163,20,162.92,1910,,2010,0
460 WEST 147 STREET,6,49,49,125,99.92,122,85,1920,E,1983,0
97 BARROW STREET,2,2,2,18.08,50,18.08,36,1899,E,0,0
276 WEST 119 STREET,7,22,22,0.5,100.92,0,0,2003,,0,0
169 EAST 92 STREET,5,18,20,25,100.67,25,67,1910,,0,0
184 EAST 101 STREET,0,0,0,25,100.92,0,0,0,,0,0
237 EAST 81 STREET,4,5,5,25,102.17,25,69,1925,E,0,0
23 RIVERSIDE DRIVE,4,9,9,22.58,101.42,22,82,1900,E,0,0
124 EAST 24 STREET,6,60,60,100,87.5,100,74.5,1939,,0,0
225 WEST 58 STREET,66,173,173,50,100.42,50,100,2014,,0,0
367 EAST 62 STREET,3,1,1,16,68.42,16,38,1901,E,0,0
1603 2 AVENUE,4,6,8,25,73.17,25,61,1915,E,1987,1995
105 MANHATTAN AVENUE,3,4,4,18,50,18,38,1900,E,1986,0
244 EAST 75 STREET,10,24,24,28,76.67,28,76,1930,,1982,0
152 LEROY STREET,0,0,0,55,101.75,0,0,0,,0,0
77 ST MARKS PLACE,4,9,10,25,93.92,25,50,1900,E,1982,2008
313 WEST 17 STREET,5,10,10,25,92,25,78,1900,E,0,0
2042 5 AVENUE,6,48,48,74.92,110,75,102,1940,E,1983,0
226 WEST 97 STREET,8,34,34,41.42,100.92,41,85,1920,E,0,0
12 EAST 132 STREET,5,10,10,30,99.92,30,99,1900,E,1995,0
15 EAST 63 STREET,5,10,10,25,100.42,25,100,1910,E,1953,0
222 WEST 37 STREET,14,0,15,37.5,98.75,37.5,98.75,1923,,0,0
530 WEST 153 STREET,5,14,14,37.5,99.92,38,86,1900,E,0,0
5 EAST 118 STREET,6,175,175,50,100.92,235,41,1988,,0,0
132 CHARLES STREET,3,2,2,23.17,29.75,23.17,20,1899,E,0,0
127 EAST 69 STREET,5,3,6,22,100.42,22,90,1920,E,1985,2004
563 WEST 150 STREET,6,30,30,50,99.92,36,88,1930,E,0,0
152 EAST 110 STREET,4,6,6,25,100.92,25,60,1900,E,1988,0
57 ST NICHOLAS TERRACE,1,1,1,22,43.5,22,43.5,1900,,0,0
528 WEST 123 STREET,5,41,41,33.42,100.92,33,85,1901,,1987,0
197 EAST 4 STREET,5,5,6,25,96.17,25,96,1913,E,0,0
123 EAST 26 STREET,3,2,2,14.5,98.75,14.25,55,1910,E,0,0
2036 5 AVENUE,5,1,2,20,85,20,85,1910,,2006,2013
97 CHRYSTIE STREET,5,8,12,25,74.83,25,54,1910,E,1983,0
103 WEST 104 STREET,5,10,10,25,101.83,25,85,1900,,0,0
26 WEST 56 STREET,5,0,1,20,100.42,20,93,1939,E,1989,0
224 WEST 122 STREET,5,15,15,33.33,100.92,33.33,88,1910,,2000,0
202 EAST 21 STREET,7,27,27,30.08,92,30,78,1925,,1972,0
359 EAST 68 STREET,11,20,22,75,25,0,0,1984,,0,0
