Address,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,YearBuilt,BuiltCode,YearAlter1,YearAlter2
503 EAST 118 STREET,5,9,9,24.17,100.92,24,67,1900,E,1984,2004
213 EAST 73 STREET,5,24,24,25,102.17,25,82,1910,,1975,0
318 WEST 77 STREET,4,10,10,22,102.17,22,66,1900,E,0,0
139 WEST 33 STREET,1,0,3,25,98.75,25,80,1932,,0,0
193 EAST 4 STREET,6,11,12,24.83,96.17,25,55,1900,E,0,0
2419 ADAM C POWELL BLVD,6,22,24,40,100,40,84,1920,,1974,0
62 EAST 130 STREET,0,0,0,16.67,99.92,0,0,0,,0,0
52 IRVING PLACE,6,17,21,27,107.25,27,107,1910,E,1988,0
21 WEST 85 STREET,5,9,9,20,102.17,20,80,1900,E,1950,0
463 WEST 142 STREET,5,0,1,45,99.92,38,80,1911,,0,0
44 MERCER STREET,7,5,6,26.67,93.33,26,93,2007,,0,0
EAST 9 STREET,0,0,0,25,58.17,0,0,0,,0,0
344 EAST 112 STREET,6,18,18,37.5,100.92,37,88,1920,,1991,0
243 WEST 120 STREET,3,2,2,16.67,100.92,17,54,1910,E,1987,0
1600 ST NICHOLAS AVENUE,6,47,54,100,130,100,120,1915,,1984,0
1533 YORK AVENUE,33,415,415,204.33,206.5,144,182,1966,,0,0
45 HAMILTON TERRACE,4,10,10,19,98.42,19,63,1910,,0,0
145 WEST 128 STREET,3,3,3,16.67,99.92,16.67,73,2000,,0,0
14 EAST 64 STREET,4,10,10,20,100.42,20,72,1920,,1986,0
41 MERCER STREET,1,0,1,24,50,24,50,1920,E,2004,0
2341 3 AVENUE,1,0,1,130,100,118,88,1976,,0,0
305 EAST 109 STREET,6,24,24,28.5,100.92,29,86,1910,E,1980,0
149 WEST 118 STREET,4,3,3,18,100.92,18,68.54,1920,,2004,0
238 EAST 62 STREET,3,1,1,20,100.42,20,45,1905,E,2007,0
89 BENNETT AVENUE,2,0,0,193.58,100,100,60,1953,,0,0
213 EAST 71 STREET,4,3,3,20.92,102.17,21,62,1910,E,2010,0
19 CLINTON STREET,8,24,29,50,100,50,100,2005,,0,0
128 DYCKMAN STREET,2,0,1,16,100,16,95,1922,,1988,0
32 WEST 120 STREET,3,8,10,18.33,100.92,18,58,1909,,0,0
27 WEST 130 STREET,3,0,2,20,99.92,20,40,1910,,1985,0
298 ELIZABETH STREET,5,4,5,23.08,15,23.08,75,1910,,0,0
231 WEST 11 STREET,2,2,2,20,97,20,42,1899,E,0,0
523 WEST 187 STREET,6,42,42,87.5,94.75,88,80,1911,,1962,0
329 WEST 21 STREET,4,11,11,25,98.75,25,46,1900,E,1988,0
250 EAST 77 STREET,6,12,12,25,100,25,56,1910,,2003,2003
158 EAST 81 STREET,3,2,2,20,104.33,20,52,1899,E,0,0
268 WEST 84 STREET,6,28,28,26.33,102.17,26,91,1940,E,1971,0
233 EAST 72 STREET,4,2,2,17.5,102.17,18,48,1910,E,0,0
109 WEST 77 STREET,4,4,4,18.5,104.08,20,74,1910,E,1969,0
251 WEST 14 STREET,4,0,2,24.17,103.25,25,72,1920,E,0,0
132 EDGECOMBE AVENUE,5,8,9,25.08,87.92,25.08,75,1910,,1992,0
2260 ADAM C POWELL BLVD,5,16,17,20.5,80,20,73,1910,E,0,0
47 CLAREMONT AVENUE,6,0,1,62.5,100,62.5,87,1920,,0,0
322 COLUMBUS AVENUE,6,61,66,76.58,100,77,87,1926,E,1972,1932
550 WEST 146 STREET,5,21,21,37.5,99.92,38,85,1920,E,0,0
320 WEST 85 STREET,3,2,2,16.67,102.17,16.67,53,1899,E,0,0
3640 BROADWAY,6,35,41,99.92,100,100,87,1910,E,1987,0
60 EAST 56 STREET,12,0,14,62,100.42,62,100,1955,,1989,0
1560 MADISON AVENUE,6,0,1,117,144.98,103,145,1974,,1910,0
84 2 AVENUE,4.5,4,6,24,100,24,50,1915,,0,0
67 PARK TERRACE WEST,2,2,2,25,100,20,54,1920,E,0,0
162 EAST 105 STREET,4,7,7,20,100.92,20,60,1910,E,1992,0
202 EAST 20 STREET,4,2,2,18.08,19.5,18.08,19.5,1901,E,0,0
23 CHATHAM SQUARE,4,0,5,22.42,63,22,58,1900,E,1987,0
509 9 AVENUE,5,8,9,27,75,22,62,1920,E,1986,0
30 MAGAW PLACE,6,42,43,100.25,83,98,71,1930,E,1988,0
544 3 AVENUE,4,3,4,19.75,80,20,49,1910,E,0,0
1340 AVENUE OF THE AMER,35,0,3,100.42,120.33,100.42,120,1926,,0,0
148 WEST 4 STREET,2,2,6,22,94,22,44,1925,E,1964,0
448 WEST 152 STREET,2,0,1,50,99.92,34,90,1926,,0,0
9 CHARLTON STREET,3,8,8,33.17,100.25,25,66,1900,E,1984,0
151 EAST 116 STREET,4,2,3,17,80,17,48,1910,E,0,0
218 WEST 104 STREET,5,10,10,18.75,100.92,19,85,1926,E,1987,0
15 WEST 94 STREET,4,7,7,18,100.67,18,70,1910,E,1968,0
1388 LEXINGTON AVENUE,4,8,9,22.67,110,23,60,1920,,1987,0
AVENUE C,0,0,0,22.92,58,0,0,0,,0,0
213 EAST 75 STREET,4,0,2,125,204.33,125,180,1955,,0,0
15 EAST 32 STREET,12,0,13,50,98.75,50,86,1915,,1988,0
607 WEST 147 STREET,4,2,2,12.5,99.92,12.5,55,1901,E,0,0
57 5 AVENUE,4,6,7,25,100,25,99,1910,E,1986,0
542 LA GUARDIA PLACE,6,10,11,43,90.15,0,0,1928,,0,0
164 WEST 79 STREET,15,60,62,83,102.17,83,85,1925,,1987,0
328 EAST 84 STREET,5,20,20,25,102.17,25,70,1920,E,1986,0
701 EAST 6 STREET,2,0,1,31,68.08,31,68,1966,E,1985,0
46 EAST 83 STREET,5,1,1,18,102.17,18,81.33,1920,E,1990,2014
237 WEST 13 STREET,5,18,20,25,103.25,25,78,1900,,0,0
506 EDGECOMBE AVENUE,1,0,1,558.08,718.92,45.83,245.83,1949,E,0,0
120 WEST 18 STREET,6,9,11,48.67,92,49,86,1907,,1986,0
34 EAST 1 STREET,5,8,10,24.08,60.67,24,50,1910,E,1985,0
136 WEST 132 STREET,3,3,3,15,99.92,15,50,1910,,2001,0
251 CHERRY STREET,26,490,491,450,330.33,60,192,1979,,0,2012
118 WEST 27 STREET,12,6,15,37.5,98.75,38,99,1910,,0,0
253 WEST 76 STREET,4,10,10,19,102.17,19,67,1900,E,0,0
778 PARK AVENUE,20,18,19,102.17,87.5,90,87,1930,,2009,2009
24 CONVENT AVENUE,5,20,20,53,79.17,53,65,1926,,1984,0
39 VESTRY STREET,8,16,16,88.11,91.08,0,0,1930,,0,0
268 WEST 91 STREET,5,9,9,18,100.67,18,75,1900,E,0,0
849 ST NICHOLAS AVENUE,6,35,35,46.42,139.75,45,122,1920,E,0,0
7 WEST 96 STREET,18,80,80,90,100.92,90,98,1931,,1989,0
1378 YORK AVENUE,5,15,15,26,77,26,60,1910,E,0,0
500 WEST 138 STREET,3,0,1,214.92,459.67,147,441,1928,,1958,0
140 WEST 142 STREET,6,66,66,150,99.92,150,57,1998,,0,0
214 EAST 72 STREET,4,1,1,17.83,102.17,17.83,52.17,1901,E,2013,0
195 CLAREMONT AVENUE,6,58,59,150,91,140,90,1925,E,1988,0
91 ARDEN STREET,4,0,2,37.67,100,38,83,1930,E,0,0
530 WEST 148 STREET,3,3,3,17.5,99.92,18,69,1900,E,1999,0
308 EAST 93 STREET,5,56,56,50,100.67,25,66,1940,E,1973,0
35 WEST 83 STREET,3,1,1,20,80,20,50,1901,E,0,0
537 WEST 150 STREET,5,21,21,50,99.92,50,87,1910,E,0,0
12 EAST 74 STREET,5,1,1,22,102.17,22,55,1901,E,0,0
452 WEST 19 STREET,5,20,20,50,92,50,86,1920,,0,0
194 RIVERSIDE DRIVE,7,41,41,113.92,125,102,127,1901,,1984,0
120 WEST 24 STREET,4,0,1,35.42,46.75,35,47,1920,E,1989,0
105 BROAD STREET,5,0,7,36.17,46.67,36,44,1935,E,0,0
178 BOWERY,5,7,8,25.25,100,25,100,1900,E,1983,2003
2527 FREDRICK DOUGLASS BL,2,0,1,19.92,100,20,57,1900,E,0,0
1471 ST NICHOLAS AVENUE,5,18,20,49.92,100,49.92,90,1910,,0,0
220 WEST 136 STREET,3,11,11,16.67,99.92,16,49,1910,E,0,0
32 GREENWICH AVENUE,0,0,0,148.33,173,0,0,0,,0,0
141 WEST 72 STREET,5,7,10,22,102.17,22,96,1910,E,0,0
261 WEST 34 STREET,3,0,1,44.58,98.75,44.58,98.75,1940,,1983,0
328 BROOME STREET,6,8,9,22.25,93.83,22,93,1900,E,1986,2008
2903 FREDRICK DOUGLASS BL,0,0,0,24.75,100,0,0,0,,0,0
149 EAST 37 STREET,4,7,7,21,98.75,21,62,1910,,1984,0
659 WEST 158 STREET,2,0,2,111.25,105,111.25,105,1923,,0,0
115 AVENUE D,6,20,23,47,50.83,47,51,1900,E,1988,0
171 AVENUE B,5,9,10,25.33,93,25,79,1900,E,1987,0
4 WEST 123 STREET,3,1,1,16.67,100.92,17,50,1909,,1995,0
340 EAST 87 STREET,5,47,47,56.33,100.71,56,72,1925,E,1972,0
659 WEST 162 STREET,6,53,53,137.5,99.92,130,84,1922,,1987,0
262 WEST 136 STREET,3,2,2,17.5,99.92,18,48,1920,E,0,0
FT WASHINGTON AVENUE,0,0,0,145.08,924.58,0,0,0,,0,0
249 WEST 102 STREET,4,9,9,18,100.92,18,87,1925,,1988,0
9 WEST 137 STREET,6,18,18,35.58,99.92,35.58,86.92,1920,E,1995,0
210 SHERMAN AVENUE,15,126,129,150,150,150,105,1930,E,1981,1992
248 WEST 11 STREET,2,2,2,16.75,48.58,16.75,40,1899,E,0,0
2521 ADAM C POWELL BLVD,0,0,0,40,101,0,0,0,,0,0
374 WEST 127 STREET,5,10,10,25,74.92,25,57,1920,E,0,0
335 PLEASANT AVENUE,3,3,3,18.54,75,18.5,50,1901,E,0,0
37 GREENE STREET,6,8,8,43.31,100,0,0,1900,,0,0
103 WEST 70 STREET,4,14,15,17,100.42,17,74,1900,E,0,0
739 GREENWICH STREET,3,4,4,18.58,84.17,19,36,1905,E,0,0
423 EAST 73 STREET,5,20,20,25,102.17,25,82,1910,E,1986,0
207 WEST 138 STREET,3,3,3,17,99.92,17,51,1910,,2015,0
308 WEST 109 STREET,5,11,11,19,100.92,19,84,1922,,0,0
44 EAST END AVENUE,5,30,30,51,98,51,65,1910,E,1955,0
1466 LEXINGTON AVENUE,6,28,32,55.67,80,54,70,1920,E,0,0
222 EAST 11 STREET,4,6,6,21.5,95,22,65,1900,E,1967,0
674 WEST 161 STREET,6,43,43,125,99.92,125,88,1920,,1988,0
508 WEST 142 STREET,4,3,3,16,90,16,65,1910,,1992,0
261 BOWERY,3,2,3,24.5,101.9,24.5,100,1910,,0,0
83 1 PLACE,6,20,21,48.5,69.5,0,0,1900,,0,0
408 WEST 49 STREET,4,6,6,18.75,55.42,18.75,45,1920,E,0,0
165 EAST 62 STREET,3,2,2,16,99.5,16,52.17,1899,E,2004,2015
516 WEST 159 STREET,5,20,20,41.67,99.92,42,85,1913,,1988,0
69 2 AVENUE,6,10,12,24,77,24,77,1900,E,0,0
21 KING STREET,3,3,3,20.83,75,20.83,38,1826,,0,0
358 BROOME STREET,6,34,36,49.08,85.67,49.08,72,1900,E,0,0
76 GRAND STREET,1,0,1,25,100,25,92,1900,E,2012,0
330 EAST 93 STREET,5,22,22,25,100.67,25,66,1910,E,1970,0
57 EAST 3 STREET,4,13,13,20,96.17,20,42,1900,E,1998,0
21 ARDEN STREET,5,16,16,27,110,27,94,1914,,0,0
126 BAXTER STREET,5,4,5,19.25,72.42,19,49,1900,E,0,0
317 WEST 126 STREET,0,0,0,16.67,99.92,0,0,0,,0,0
308 WEST 107 STREET,5,10,10,19,100.92,19,85,1900,E,0,0
242 EAST 71 STREET,5,10,12,28,100.42,28,82,1910,E,1986,2009
715 WEST 179 STREET,2,0,1,174,100,170,73,1910,E,1992,0
730 5 AVENUE,25,0,75,100.42,225,100,225,1921,,1986,0
169 EAST 109 STREET,6,44,44,150,100,150,66,2002,,0,0
28 WEST 120 STREET,5,12,12,25,98.83,25,82,1909,,1998,0
38 EAST 3 STREET,3,6,6,23,56,23,40,1900,E,0,0
423 WEST 55 STREET,12,0,24,225,132,195,120,1915,E,2004,0
2167 2 AVENUE,10,16,16,25.29,100,0,0,2008,,0,0
1230 AVENUE OF THE AMER,22,0,116,200.83,720,201,238,1939,,1989,0
572 WEST 207 STREET,1,0,6,161.25,100,160,90,1930,E,1993,0
2145 LEXINGTON AVENUE,1,0,0,122,67.67,12,18,1920,,0,0
272 EAST 3 STREET,5,8,9,23.25,86.92,23,86,1900,E,1988,0
61 MORTON STREET,3.5,8,8,25,100,25,64,1905,E,1969,0
177 EAST 80 STREET,3,1,1,16.67,100,16.67,50,1899,E,0,0
225 WEST 53 STREET,0,0,0,50,116,0,0,0,,0,0
143 EAST 62 STREET,4,1,2,12.5,89.83,12.5,72,1910,E,0,0
565 WEST 188 STREET,5,30,31,62.5,100,62,88,1930,E,0,0
71 LENOX AVENUE,5,11,11,25.29,75,25,64,1900,E,1995,0
49 BROADWAY,5,0,1,26.33,191.75,26.33,191.5,1900,E,2004,0
355 AVENUE OF THE AMER,4,6,7,20.42,85,20,70,1910,,1966,0
2279 1 AVENUE,0,0,0,25.25,100,0,0,0,,0,0
125 WEST 29 STREET,5,0,1,35.67,65,35.67,65,1930,,2003,0
249 BROOME STREET,7,22,24,41.5,87.5,42,76,1920,,0,0
50 MORNINGSIDE AVENUE,7,49,49,100.92,100,94,100,1929,E,1978,0
10 WEST 123 STREET,3,2,2,16.67,100.92,16.67,50,1899,E,2003,0
118 MADISON STREET,5,8,10,23.5,73.75,24,42,1900,E,1988,0
809 1 AVENUE,11,0,8,100,80,0,0,1964,,0,0
1028 2 AVENUE,4,6,7,20,64,20,60,1910,E,1986,0
150 EAST 36 STREET,2,0,1,41,19.75,41,19.75,1850,E,0,0
545 WEST 22 STREET,1,0,1,75,98.75,75,98.75,1949,,1992,0
770 8 AVENUE,52,464,465,139.83,100,139,100,2001,,0,0
217 WEST BROADWAY,7,7,8,42.42,100,40,80,2005,,0,0
324 EAST 51 STREET,3,2,2,37.5,100.42,37.5,38.21,1899,,0,0
152 WEST 66 STREET,2,0,1,76,100.42,62,100,1900,E,0,0
133 WEST 82 STREET,3,6,6,17.5,102.17,18,58,1900,E,1986,0
11 EAST 125 STREET,3,6,7,15,99.92,15,45,1910,E,1997,0
208 EAST 35 STREET,3,4,4,12.5,98.75,13,47,1900,E,0,0
2242 2 AVENUE,4,1,3,20,80,20,50,1910,,0,0
115 EAST 60 STREET,5,7,9,20,100.42,20,99,1900,E,2009,0
226 EAST 74 STREET,5,34,34,50,102.17,50,58,1920,E,1989,0
9 EAST 91 STREET,5,0,1,80.06,100.71,55.5,100.67,1910,E,0,0
258 BROADWAY,8,45,46,50.08,185.83,50,181,1915,,1985,0
345 WEST END AVENUE,4,10,10,21,69.83,21,54,1920,E,1977,0
1421 3 AVENUE,6,0,30,33.5,100,33.5,96,1920,E,1986,0
333 WEST 87 STREET,5,9,9,16,100.67,16,67,1900,E,0,0
45 WEST 25 STREET,11,0,12,100,98.75,98,90,1909,,2013,0
2357 FREDRICK DOUGLASS BL,5,7,7,25,100,25,83,1901,,2003,0
CABRINI BOULEVARD,0,0,0,255,272,0,0,0,,0,0
27 ESSEX STREET,6,8,10,25.75,43.58,26,44,1910,E,0,0
329 EAST 89 STREET,5,11,11,25,100.71,25,68,1910,,1987,0
547 WEST 49 STREET,2,0,1,25,102,25,50,1950,,0,0
65 WEST 70 STREET,6,14,17,50.42,100,50,94,1926,E,1986,2004
415 3 AVENUE,4,6,7,24.33,60,24,59,1930,E,0,0
435 WEST 44 STREET,3,1,1,20,100.42,20,44,1899,E,2003,0
133 WEST 131 STREET,3,11,11,17,99.92,17,53,1910,,1985,0
117 EAST 38 STREET,4,2,2,17,98.75,17,55,1901,E,0,0
315 GRAND STREET,5,0,8,45.75,69.75,40,70,1915,E,0,0
149 EAST 61 STREET,5,10,10,21,100.42,21,72,1910,E,0,0
31 HAMILTON TERRACE,4,4,4,18.5,100,18,61,1920,E,0,0
238 EAST 111 STREET,6,24,24,40,100.92,40,87,1905,E,0,0
EAST 2 STREET,0,0,0,25,62,0,0,0,,0,0
630 10 AVENUE,5,8,10,25.08,75,25,60,1910,E,1987,0
416 EAST 74 STREET,7,27,27,25,102.17,25,89,1910,E,1988,0
61 EAST 86 STREET,7,46,48,102.17,100.67,102,88,1910,E,1988,0
250 WEST 26 STREET,4,0,13,84.67,98.75,85,99,1920,,1986,0
838 RIVERSIDE DRIVE,6,42,42,102.75,150.5,102,133,1920,,1986,0
11 EAST 31 STREET,37,32,33,43.74,98.75,43.74,98.75,2014,,2014,0
14 WEST 83 STREET,3,4,4,36,102.17,36,53,1901,E,0,0
56 LEONARD STREET,57,146,147,24.92,100,100,124,2007,,0,0
314 EAST 100 STREET,6,80,81,246.65,100.92,246,70,1925,E,2010,2010
481 WEST 145 STREET,3,3,3,41.67,99.92,16.67,55,1926,,0,0
2070 ADAM C POWELL BLVD,3,44,44,493.16,100.91,466,50,1985,,0,0
212 EAST 125 STREET,4,0,2,25,100.92,25,90,1900,,0,0
155 ATTORNEY STREET,7,37,37,75,100,75,65,2015,,0,0
44 WEST 8 STREET,1,0,3,50,120,50,120,1957,,1971,0
331 EAST 88 STREET,5,20,20,25,100.71,25,72,1920,E,1985,0
38 WEST 85 STREET,4,3,3,16.67,102.17,16.67,55,1899,E,0,0
385 FT WASHINGTON AVENUE,6,64,67,127.58,100,126,90,1950,E,1986,0
143 WEST 126 STREET,4,5,5,15,99.92,15,58,1910,E,1986,1998
248 EAST 31 STREET,9,30,30,72,89.11,0,0,1925,,1981,0
132 WEST 14 STREET,7,0,2,74.5,103.25,74.5,95,1912,,1956,0
145 WEST 57 STREET,22,0,19,45,100.42,45,100,1990,,0,0
39 WEST 131 STREET,3,2,2,12.5,99.92,13,58,1910,,1987,2001
113 EAST 60 STREET,5,1,3,20,100.42,20,62,1910,E,1989,2007
17 WEST 8 STREET,5,5,6,25.08,93.92,25,78,1900,,2009,0
314 WEST 83 STREET,3,1,1,18.5,102.17,19,65,1900,E,2009,2009
307 EAST 37 STREET,6,33,36,70.67,83.38,60,58,1910,E,1988,0
506 WEST 135 STREET,6,24,24,45.83,99.92,46,85,1905,E,1988,0
1745 LEXINGTON AVENUE,4,8,9,16.67,65,16,56,1910,E,1989,0
605 WEST 161 STREET,10,62,62,75,102.25,75,67.25,2015,,0,0
135 WEST 142 STREET,6,18,18,40,99.92,40,86,1920,E,0,0
772 9 AVENUE,5,8,9,25,100,25,80,1920,,1988,2007
211 WEST 22 STREET,4,3,3,17.17,49.33,17,40,1901,E,1967,2006
366 WEST 23 STREET,5,8,10,23,73.83,23,50,1910,E,0,0
137 WAVERLY PLACE,3,2,6,22.25,80.83,22,35,1915,E,0,0
433 WEST 162 STREET,3,2,2,18.5,112.5,18.5,52,1899,E,2008,0
1020 AMSTERDAM AVENUE,10,66,69,95.92,125,96,114,1910,E,0,0
21 WEST 120 STREET,3,4,4,20,100.92,20,54,1909,,0,0
1781 1 AVENUE,30,367,371,201.42,100,25.67,75,1980,,0,0
346 WEST 20 STREET,2,0,1,31.5,120,31.5,50,1900,,0,0
94 NASSAU STREET,4,0,6,117.75,74.17,118,74,1929,,1963,0
215 EAST 111 STREET,3,3,3,22.33,100.92,22,46,1997,,0,0
106 NAGLE AVENUE,5,42,48,70,130,70,117,1925,,1988,0
39 EAST 10 STREET,5,10,10,44.5,94.75,45,82,1900,,1987,0
652 10 AVENUE,4,4,6,20.42,60,20,60,1935,E,1987,0
1749 AMSTERDAM AVENUE,5,9,10,24.92,100,25,84,1926,,1991,0
40 MARKET STREET,5,8,9,22.25,86.83,22,85,1900,,0,0
633 EAST 11 STREET,6,24,24,25,103.25,25,87,1937,E,1985,0
9 WEST 100 STREET,3,0,1,50,100.92,50,101,1920,E,0,0
322 F D R DRIVE,8,0,1,150,70,123,66,1916,,1927,0
19 WEST 76 STREET,4,14,14,25,102.17,25,77,1910,,1975,0
110 CONVENT AVENUE,5,30,31,50,100,50,89,1901,E,0,0
73 LENOX AVENUE,3,0,1,50.42,75,50,65,1915,E,0,0
159 EAST 80 STREET,3,3,3,18.75,100,18.75,45,1899,E,0,0
10 HANOVER SQUARE,21,493,497,138.83,189,136,161.58,1972,,2005,0
32 EAST 69 STREET,5,0,1,20.5,100.42,20.5,68,1910,E,2003,0
28 GROVE STREET,3,1,1,22,100,22,53,1915,E,2014,2007
134 EAST 17 STREET,6,23,25,25,92,25,79,1910,E,1988,0
973 COLUMBUS AVENUE,5,20,22,25,100,25,86,1910,E,1987,0
44 WEST 11 STREET,3,3,3,21.67,94.75,21.67,42,1899,E,0,0
138 EAST 112 STREET,7,43,43,107.15,100.92,100,68,2004,,0,0
239 EAST 84 STREET,7,42,43,40,102.17,37,92,1930,E,1978,0
238 WEST 19 STREET,16,200,202,257.92,92,258,90,1986,,0,0
131 MULBERRY STREET,5,6,8,40,25,40,25,1910,E,0,0
29 EAST 7 STREET,5,9,10,25.83,75,26,64,1900,E,0,0
353 WEST 46 STREET,3,1,3,19.5,100.42,20,57,1920,E,1982,0
817 5 AVENUE,14,16,16,50,100,0,0,1925,,0,0
226 WEST 71 STREET,6,1,1,20,100.42,20,65,1900,E,0,0
158 EAST 111 STREET,3,8,8,19.25,100.92,19,52,1920,E,0,0
330 EAST 18 STREET,2,1,1,21,92,21,33,1901,E,0,0
348 WEST 20 STREET,4,3,3,16.67,92,16.67,60,1910,E,0,0
186 WEST 135 STREET,5,10,10,50,99.92,50,85,1925,,0,0
13 WEST 119 STREET,0,0,0,14,69.17,0,0,0,,0,0
836 2 AVENUE,4,3,4,18,70,18,50,1910,E,0,0
156 EAST 62 STREET,5,1,1,20,100.42,20,56.83,1899,E,2015,0
140 DELANCEY STREET,3,0,6,100,125.17,100,118,1912,,2012,0
503 MANHATTAN AVENUE,3,2,2,15,80,15,56,1899,E,0,0
300 ALBANY STREET,9,107,110,133.58,122,0,0,1986,,0,0
9 CABRINI BOULEVARD,5,35,35,90,112.75,88,105,1916,,0,0
232 EAST 35 STREET,4,0,6,19.83,98.75,19.83,50,1910,E,0,0
305 EAST 18 STREET,3,1,2,20,54,20,40,1901,E,0,0
511 EAST 118 STREET,3,3,3,16.67,100.92,16.67,48,1901,E,0,0
288 DELANCEY STREET,14,2391,2391,898.67,1198,195.83,65.83,1962,E,0,0
41 WEST 86 STREET,16,166,167,82.5,100.71,83,101,1927,,1974,0
562 5 AVENUE,13,0,1,27.08,100,27,100,1920,,1987,0
512 EAST 5 STREET,5,16,16,25,96.17,25,54,1900,E,1989,0
59 CHARLES STREET,3,2,2,20,95.25,20,45,1899,E,0,0
226 WEST 13 STREET,2.5,13,13,20,69.67,20,38,1910,,1987,0
106 EAST 117 STREET,3,27,28,79.12,100.92,15,40,1910,E,0,0
215 EAST 79 STREET,15,87,87,99.5,102.17,100,72,1947,,0,0
97 1/2 EAST 7 STREET,5,9,10,19,97.5,19,86,1900,E,1987,0
125 1 AVENUE,5,4,5,21,50,21,50,1900,E,2005,0
468 WEST 153 STREET,4,8,8,21,99.92,21,70,1920,E,1987,0
258 5 AVENUE,12,0,29,49.33,105,49,100,1900,,0,0
313 WEST 35 STREET,14,5,16,50,98.75,50,98,1927,,0,0
2112 5 AVENUE,5,2,2,16.33,76.67,16,64,1910,E,1985,0
2149 3 AVENUE,4,6,7,20,87,20,83,1910,,0,0
20 EAST 126 STREET,3,4,4,18.75,99.92,18.75,50,1909,E,1997,0
100 EAST END AVENUE,8,0,1,102.17,223,102.17,148,1920,E,2007,2007
54 1/2 LUDLOW STREET,5,8,9,20,87.5,20,40,1901,E,0,0
1694 PARK AVENUE,5,10,12,25.42,100,25,90,1900,E,1989,0
281 CHURCH STREET,6,5,6,25.08,75,25,75,1910,E,0,0
163 EAST 82 STREET,6,1,1,19.17,82,19.17,60,1899,E,2009,2009
62 BANK STREET,3,2,2,22.33,75,22.33,36,1899,E,0,0
60 WEST 68 STREET,11.5,73,73,78.25,100.42,78,95,1920,,1986,1988
100 CABRINI BOULEVARD,6,49,49,78,134,78,126,1920,E,1987,0
215 MADISON STREET,5,20,22,26.08,100.17,26,90,1920,E,1955,0
621 AMSTERDAM AVENUE,20,187,190,201.42,154.5,201,128,1974,,1986,0
416 WEST 13 STREET,3,0,44,144,206.5,144,206.5,1901,,2014,0
502 10 AVENUE,0,0,0,140,300,0,0,0,,0,0
561 WEST 175 STREET,6,30,30,50,112.75,50,98,1914,,0,0
189 EAST 2 STREET,5,8,9,19.33,105.42,19,74,1900,,2008,0
166 DUANE STREET,12,30,32,44.65,121.5,0,0,1910,,1998,0
334 ST NICHOLAS AVENUE,0,0,1,37.87,79.78,14.15,37.46,1930,,0,0
765 AVENUE OF THE AMER,1,0,1,39.58,70,39.58,69,1935,E,2009,0
54 WEST 10 STREET,4,9,10,21.5,92.25,22,50,1900,,0,0
444 WEST 36 STREET,3,0,1,25,98.75,25,95,1920,E,1966,0
3 EAST 43 STREET,7,0,2,56.67,100.42,57,100,1909,,1985,0
72 WEST 126 STREET,3,0,1,12.5,99.92,13,54,1910,,1986,0
386 FT WASHINGTON AVENUE,6,30,31,50,100.75,42,86,1940,,0,0
482 AMSTERDAM AVENUE,5,17,19,25.5,100,26,89,1920,,1987,0
22 WEST 21 STREET,12,0,14,100,92,100,92,1907,,0,0
735 EAST 9 STREET,6,12,12,75,92.3,75,60,1920,,0,0
238 EAST 9 STREET,4,18,19,18,75,18,54,1900,E,0,0
201 WEST 72 STREET,21,201,202,180.46,106.83,0,0,1938,,0,0
625 9 AVENUE,4,3,4,20.08,65,20,48,1920,E,0,0
102 EAST 120 STREET,0,0,0,18,72,0,0,0,,0,0
4565 BROADWAY,2,0,1,2083,515,28,88,1920,E,0,0
430 HUDSON STREET,5,1,2,22,80,22,40,1910,E,2011,2011
561 HUDSON STREET,4,9,11,50.08,16,50.08,16,1905,E,0,0
201 WARREN STREET,25,151,152,73.42,135.25,135.25,179.11,1998,,0,0
53 EAST 7 STREET,5,12,12,25,97.5,25,80,1910,E,0,0
10 EAST 73 STREET,5,1,1,22.5,102.17,22.5,65,1910,,2002,0
375 MANHATTAN AVENUE,7,20,22,50,61.83,50,56,1920,E,1988,0
171 EAST 84 STREET,36,219,222,174,102.17,0,0,1987,,1994,0
171 WEST 85 STREET,6.5,0,2,18.75,102.17,19,95,1910,E,1985,0
518 WEST 157 STREET,3,2,2,16.67,99.92,16.67,38,1899,E,0,0
32 WEST 126 STREET,3,3,3,18.75,99.92,18.75,50,1909,,1998,0
33A WEST 131 STREET,3,4,4,12.5,99.92,13,50,1910,,2012,0
118 WEST 22 STREET,12,0,13,75,98.75,75,94,1911,,1975,0
2166 2 AVENUE,4,7,8,25,75,25,49,1910,E,1997,0
387 BROOME STREET,5,20,22,25.25,105.42,25,105,1930,E,2003,0
502 EAST 87 STREET,3,1,1,18,100.67,18,42,1899,E,2004,0
102 WEST 91 STREET,11,87,87,110,91,110,91,1993,,0,0
331 EAST 12 STREET,8,0,1,80,103.25,78,94,1927,,1983,2001
102 GREENWICH STREET,5,0,1,49.92,92.83,50,92,1926,,0,0
166 ORCHARD STREET,6,25,26,25,88,25,74,1920,E,1999,0
17 JOHN STREET,15,111,114,77.58,135.83,78,135,1920,,1999,2002
245 EAST 57 STREET,4,7,11,50,100.42,50,58,1890,E,0,0
30 EAST 70 STREET,4,8,8,25,100.42,25,92,1930,E,0,0
132 WEST 95 STREET,4,3,3,17,100.67,17,50,1901,E,2006,0
